Time,Temperature,Pressure,Concentration,Volume
2023-01-01,28.5,28.5,28.5,812.25
2023-01-02,29.0,29.0,29.0,841.0
2023-01-03,29.5,29.5,29.5,870.25
2023-01-04,30.0,30.0,30.0,900.0
2023-01-05,30.5,30.5,30.5,930.25
2023-01-06,31.0,31.0,31.0,961.0
2023-01-07,31.5,31.5,31.5,992.25
2023-01-08,32.0,32.0,32.0,1024.0
2023-01-09,32.5,32.5,32.5,1056.25
2023-01-10,33.0,33.0,33.0,1089.0
2023-01-11,33.5,33.5,33.5,1122.25
2023-01-12,34.0,34.0,34.0,1156.0
2023-01-13,34.5,34.5,34.5,1190.25
2023-01-14,35.0,35.0,35.0,1225.0
2023-01-15,35.5,35.5,35.5,1260.25
2023-01-16,36.0,36.0,36.0,1296.0
2023-01-17,36.5,36.5,36.5,1332.25
2023-01-18,37.0,37.0,37.0,1369.0
2023-01-19,37.5,37.5,37.5,1406.25
2023-01-20,38.0,38.0,38.0,1444.0
2023-01-21,38.5,38.5,38.5,1482.25
2023-01-22,39.0,39.0,39.0,1521.0
2023-01-23,39.5,39.5,39.5,1560.25
2023-01-24,40.0,40.0,40.0,1600.0
2023-01-25,40.5,40.5,40.5,1640.25
2023-01-26,41.0,41.0,41.0,1681.0
2023-01-27,41.5,41.5,41.5,1722.25
2023-01-28,42.0,42.0,42.0,1764.0
2023-01-29,42.5,42.5,42.5,1806.25
2023-01-30,43.0,43.0,43.0,1849.0
