Date,Stock_A_Price,Stock_B_Price,Stock_C_Price,Stock_A_Volume,Stock_B_Volume,Stock_C_Volume
2010-01-01,142.72786971123884,96.45068404100252,63.45123014347407,44547,44562,21281
2010-01-02,84.19637431026098,155.768617409919,111.36212126242778,32608,26285,20142
2010-01-03,53.222086087386224,121.30039718185495,111.43984766789262,20772,30860,27093
2010-01-04,56.08771310991044,86.78671258418795,66.86250749627985,49042,41437,15561
2010-01-05,101.38278236053839,88.90385040541456,61.95787200610308,40324,31724,20224
2010-01-06,55.630667844140916,125.94300258582085,111.30858662444777,37997,24339,39138
2010-01-07,54.98069679856029,75.1512454167372,115.0480797211211,38508,41443,11114
2010-01-08,91.52408159787785,161.15316021157292,109.815900304703,47357,32866,12046
2010-01-09,104.58515827290941,134.41885647584297,50.60507115099411,21768,56094,9916
2010-01-10,124.70259094767762,78.23417119261622,74.32892017345259,22258,57907,14449
2010-01-11,55.987368745727,116.91686711725765,81.21777613329454,16660,58824,26119
2010-01-12,140.06161169015485,69.46977731753282,44.898766903811904,20147,42834,26319
2010-01-13,96.51851589038469,135.80742118127785,76.59553997170403,13076,30509,30867
2010-01-14,109.77340243328419,107.37904150196155,46.16350495944577,19490,36669,37462
2010-01-15,118.39466622701119,178.16198502588088,106.11744896793164,29542,12193,38916
2010-01-16,132.26142935799714,111.29960245556659,109.10724374267546,43262,50396,11498
2010-01-17,125.27618676296757,155.1577679247468,80.42311599946648,34203,25139,14988
2010-01-18,56.62487628740133,77.58222224421475,78.40832044401893,11611,55385,17381
2010-01-19,119.77727164722737,176.64308972145986,80.00552176736133,48763,19708,20432
2010-01-20,95.48918590639096,179.47199258414378,102.49933264170497,45723,18785,21736
2010-01-21,116.61317376800133,103.5771434818012,72.50073164010226,25344,24205,12920
2010-01-22,50.25881770796996,160.44835735206334,109.91802840737357,27707,41044,34759
2010-01-23,137.5772133675571,174.77377340266312,51.696430459365395,20079,47595,35548
2010-01-24,143.84776102158216,141.67198486784775,58.19113658181341,23136,55890,38450
2010-01-25,83.27512326785998,173.30909594887967,99.94273669830733,18995,30756,31973
2010-01-26,65.9455455382305,150.6298582435649,57.34603187234342,39062,31472,27309
2010-01-27,64.15000117947869,132.21705425581348,50.04574513764949,18200,32185,24328
2010-01-28,100.28948313906538,151.68267076957463,66.92811789317236,27659,14042,23259
2010-01-29,129.5562660579552,79.80064472575756,50.95101674974296,29108,19493,33164
2010-01-30,108.35083010260823,117.31038885569183,101.56348957381778,12449,37058,36026
2010-01-31,139.81636996437186,161.98433432398656,80.02351230701163,17546,22166,23956
2010-02-01,56.72892974015251,174.64338008823478,74.45479099417625,22194,18335,33835
2010-02-02,127.42323765653352,107.429285898878,77.77823302152464,27336,58346,26545
2010-02-03,148.06114354329057,177.02491209375984,58.031070839237074,43630,29913,38562
2010-02-04,143.98926595275273,61.45391370041768,58.714155022569074,26182,26686,9108
2010-02-05,108.99878797980838,161.36456573698325,102.81968050738541,44113,13325,12172
2010-02-06,133.20701417745985,83.18445300413627,41.11945419182457,10456,33689,19629
2010-02-07,91.350541213257,95.92940605253497,73.11875452689964,42766,31754,36724
2010-02-08,65.81472364837174,115.50849802010481,48.65485874299094,24356,23024,16631
2010-02-09,141.80043793132825,158.2072246666665,51.516955467183564,18532,24048,9616
2010-02-10,120.91438337680115,65.66577179669,105.2969645529093,32168,28717,25750
2010-02-11,68.29456377888854,109.07654988555495,73.91917606726138,27078,13665,10063
2010-02-12,98.5000918954882,134.2403292583564,55.33080389587478,27924,19800,31294
2010-02-13,86.94170391841557,94.16125742947457,44.978426363963216,10934,36847,12773
2010-02-14,134.93951897027762,63.01822205387298,85.38802741516186,35230,33635,38798
2010-02-15,67.74793350990706,101.63878914097262,53.06689215521702,21237,48737,18688
2010-02-16,81.13203931974273,87.61134308945321,114.14812561840168,23556,18493,37598
2010-02-17,95.81493995750935,141.27318173076208,113.24244403400209,47308,14426,35376
2010-02-18,125.0108286223807,178.4957391642156,53.32847140854063,17803,37635,9964
